t,ax,ay,az,gx,gy,gz
1764804386163,-1.6328455,8.7532015,-11.571177,-2.2149973,-2.3860397,-1.1924089
1764804386224,-1.8124107,8.980651,-6.9144545,-3.3744197,-1.5430456,-0.766025
1764804386277,-2.4420857,5.7748146,-5.106832,-3.626096,-1.4062119,-0.9236283
1764804386329,-1.4173675,1.9560628,-4.721366,-3.549127,-1.210735,-0.34697145
1764804386385,-0.35194764,0.031124622,2.992752,-6.822143,1.1410962,1.6517797
1764804386439,1.2808979,1.757344,4.5801077,-6.2454863,1.4147639,1.7397442
1764804386494,3.2968156,3.1651347,7.7213006,-5.275432,0.12217305,1.269378
1764804386548,2.0829554,4.6112323,14.973337,-1.2705997,-1.3023647,0.625526
1764804386602,1.9201498,5.0661306,7.788338,1.8423696,-1.0433578,0.3567453
1764804386659,4.2880154,8.061277,5.7029886,-0.15271631,-0.70371675,0.8002335
1764804386711,3.7445314,6.7971387,6.256049,-0.14172074,0.39461896,0.64873886
1764804386765,3.526659,7.563283,4.261679,-0.0842994,-0.24923302,0.55955255
1764804386823,3.8474822,6.43322,6.7827735,0.41783184,-0.2602286,0.15515977
1764804386876,4.5058875,6.8210807,6.8450227,0.20647246,-0.017104227,0.28221974
1764804386929,6.4882865,7.9391727,8.817844,0.021991149,0.07819075,0.3359759
1764804386982,14.401123,11.2312,16.180016,0.64873886,-0.4569272,-0.77213365
1764804387039,15.195998,10.117896,21.830332,0.97005403,0.95294976,-1.890017
1764804387094,12.471396,5.6407394,17.106571,3.6835175,-0.047647487,-3.3793066
1764804387147,7.129933,-2.432509,6.445191,5.3194146,1.3842206,-4.724432
1764804387200,8.374918,-4.8482585,-1.4820108,4.9602256,2.162463,-5.0335298
1764804387258,0.21547815,-9.734824,-7.445967,5.729916,0.64873886,-5.996253
1764804387311,-12.907142,-9.7803135,-8.755595,1.0372492,0.3408628,-3.481932
1764804387364,-14.970943,-8.659827,-9.172187,0.874759,0.7122689,-1.8570304
1764804387426,-9.153033,-3.715801,-9.270349,-0.70738196,0.15027285,0.689056
1764804387479,-7.656657,-3.9217024,-7.4483614,-1.3365731,0.5009095,0.8894198
1764804387532,-9.358934,-7.9224133,-9.205706,-1.1606439,0.17348573,0.4972443
1764804387584,-13.735536,-25.77837,-9.586384,0.453262,-4.1954226,2.3762658
1764804387637,-8.599973,-36.576218,-3.5984852,-4.3774605,-0.74281216,9.2533865
1764804387691,0.92176765,-47.417164,6.7133417,-5.2363367,-1.073901,13.8861885
1764804387744,78.42926,8.037335,33.92105,-7.820297,6.6425486,9.57348
1764804387799,53.613358,10.453085,40.078938,-1.2938126,-1.7287487,0.47891834
1764804387855,55.679554,9.564836,24.70098,1.9779817,1.2180653,-2.4288
1764804387909,25.342625,-9.169792,9.607931,3.966959,0.12950343,-8.547227
1764804387962,17.860744,-13.077129,6.143522,4.1135664,0.68416905,-8.808677
1764804388014,16.759413,-14.702792,-0.2753332,3.562566,1.8985692,-9.238726
1764804388073,-3.6415808,-18.567034,-3.9217024,2.2101104,1.2486086,-7.3132787
1764804388140,-12.337321,-13.172897,-5.9567738,2.3041837,0.70371675,-3.5527923
1764804388192,-10.807426,-9.222465,-7.589619,2.2907448,0.61575216,-1.423316
1764804388243,-10.218452,-7.5680714,-8.983045,1.9999728,0.29565877,-0.7122689
1764804388296,-8.559271,-7.785944,-9.160215,1.5430456,0.07941248,-0.2687807
1764804388347,-9.545682,-11.283873,-9.864111,0.38240165,0.3359759,0.17470746
1764804388398,-10.187328,-15.286978,-12.337321,-0.15149458,-0.2846632,1.0800097
1764804388451,-9.045294,-19.577387,-11.7387705,-1.6029104,-0.86498517,2.2369885
1764804388503,-3.311181,-24.538174,-3.5122938,-4.7317624,-1.9156734,6.1257567
1764804388558,0.8595184,-21.176714,7.587225,-5.7580156,-2.3542747,8.756143
1764804388611,9.054871,-33.171665,7.7428484,-3.907094,-1.5161675,11.208156
1764804388663,78.33828,-12.696451,11.870452,-0.19914207,0.04886922,15.125024
1764804388717,78.42926,14.635755,18.571823,-2.3188446,-0.19547687,5.2363367
1764804388771,47.71644,13.816938,25.629929,-1.3329079,1.0311406,-2.6670377
1764804388826,21.24854,-4.6471453,12.770672,1.5198327,2.6328292,-7.7042327
1764804388880,10.807426,-8.856153,10.766725,2.366492,3.4037411,-7.6859064
1764804388934,6.155493,-11.092337,7.61835,3.8570032,2.3921483,-7.05305
1764804388987,-2.6743233,-13.129802,-5.583278,5.80322,-0.019547688,-6.5118237
1764804389040,-6.277597,-11.209652,-7.074866,3.6199875,0.59864795,-5.0970597
1764804389092,-8.583213,-10.089166,-9.0716305,2.992018,0.70371675,-3.8973203
1764804389147,-9.85214,-7.687782,-10.235212,2.2455406,0.002443461,-1.5271631
1764804389198,-9.425972,-7.0341644,-9.832987,1.9437732,-0.68661255,-0.87109387
