t,ax,ay,az,gx,gy,gz
1764917092239,0.80205756,-8.516175,5.0900726,0.28710666,0.05497787,0.16493362
1764917092291,0.89543146,-9.011775,4.9416323,0.2565634,0.002443461,0.03176499
1764917092342,0.521936,-8.305486,5.1355624,0.13316862,0.037873644,-0.047647487
1764917092394,0.1340753,-7.8027034,5.482722,-0.052534413,0.07696902,-0.014660766
1764917092451,0.25617957,-7.615956,5.17387,-0.08552113,0.058643065,0.061086524
1764917092502,0.39983168,-8.53054,4.793192,-0.19058995,0.036651913,0.037873644
1764917092554,1.4915876,-8.9758625,4.6782703,-0.061086524,0.36163223,-0.009773844
1764917092605,1.5011644,-9.038112,5.1906295,-0.089186326,0.5693264,-0.13316862
1764917092656,0.7254431,-7.493851,6.160281,-0.19547687,0.23945917,-0.18203785
1764917092711,1.1731589,-3.8642416,11.417948,0.07574729,0.105068825,0.14172074
1764917092766,-0.45729253,-6.205771,2.2768857,0.6365216,0.30176744,0.29565877
1764917092819,0.35434186,-5.865794,5.1235914,-0.59498274,-0.23701571,0.60231316
1764917092878,-0.90021986,-10.457873,2.705448,-2.5350907,0.2602286,1.0189233
1764917092935,-4.7429137,-9.378088,-0.9864111,-0.7672467,0.7806858,1.0140363
1764917092995,-3.3686419,-8.130709,2.4660277,-1.382999,1.0225884,0.7452556
1764917093051,-2.1332338,-8.90643,2.348712,-2.928488,0.6963864,0.689056
1764917093107,-1.697489,-9.6845455,1.9153614,-1.5589281,0.096516706,0.39706242
1764917093176,-3.2872388,-11.137826,1.7477672,-0.48624873,-0.18325958,-0.047647487
1764917093242,-3.4715924,-8.377312,0.9600749,-0.4007276,-0.1441642,0.07819075
1764917093293,-3.7493198,-7.00304,-0.9935937,-0.71593404,-0.06352998,0.55833083
1764917093347,-3.454833,-12.315774,0.16519992,-1.3695599,-0.029321533,0.5852089
1764917093399,-3.3279405,-7.8984714,0.1364695,-0.27366763,-0.312763,0.08307768
1764917093459,-3.8235402,-9.406818,-0.6943185,-0.16249016,0.1001819,0.36163223
1764917093520,-3.5793316,-9.500193,-1.1252748,-0.09896017,-0.008552114,0.37995818
1764917093579,-3.6703112,-8.157045,-1.8698715,2.3090706,0.062308256,0.34697145
1764917093635,-5.207389,-10.309433,3.3901896,0.8894198,0.15027285,-0.14782938
1764917093690,-2.741361,-10.84334,2.267309,0.021991149,-0.10751228,-0.29932398
1764917093746,-3.41892,-12.595895,0.90500826,0.21013765,0.04520403,-0.59620446
1764917093799,-2.882619,-11.542446,2.3343468,0.3811799,0.012217305,-1.1716396
1764917093855,-0.82121116,-10.479421,2.4875755,0.43371433,-0.10140363,-1.2986995
1764917093911,-1.400608,-11.245565,2.8993783,0.73426,0.010995574,-1.2425
1764917093966,-1.4149733,-11.736377,3.4835634,0.56688297,0.13805555,-1.3267993
1764917094027,-0.7637503,-11.798626,2.006341,0.6365216,0.41416663,-1.3439035
1764917094080,-0.6967127,-11.971008,2.5378537,0.6206391,0.5497787,-1.1178834
1764917094183,-0.25857377,-8.995016,-0.10055647,0.9309586,0.44837508,-0.63529986
1764917094255,-0.12689269,-7.3430166,3.1627405,1.1557571,-0.02443461,-0.97249746
1764917094306,0.12449849,-7.441179,2.9472623,1.1691961,-0.17470746,-1.0396926
1764917094360,1.9728222,-6.7803793,4.5274353,0.93218035,-0.46303585,-0.91507614
1764917094414,1.70946,-6.8785415,3.5649664,1.1044444,-0.32620203,-0.71837753
1764917094468,2.695871,-6.9144545,4.5657425,0.84665924,-0.17592919,-0.56688297
1764917094524,2.920926,-6.495469,4.8817773,0.5729916,-0.03176499,-0.43982297
1764917094578,3.1196449,-6.1770406,5.1906295,0.5815437,0.06841691,-0.37140608
1764917094631,2.9999347,-6.009446,5.142745,0.31520647,-0.015882496,-0.25411993
1764917094684,3.1172507,-5.839458,4.5441947,-0.09773844,0.1160644,-0.2284636
1764917094742,3.2345665,-4.939238,5.2840033,-0.36896262,0.2687807,-0.059864793
1764917094794,2.6312277,-4.0797195,4.9200845,-0.5009095,0.26511553,0.15271631
1764917094848,1.1348516,-3.0909145,3.1244333,-0.89675015,-0.12095132,0.6059783
1764917094904,-0.32561144,-3.1052797,3.976769,-1.1032226,-0.5546656,1.4929546
1764917094964,-2.5210943,-8.406042,-0.82360536,-1.3048081,-0.1600467,2.0781636
1764917095017,-1.922544,-10.84334,0.7541735,-1.4746287,0.15271631,1.7763962
1764917095069,-0.1364695,-14.089877,0.2753332,-3.227812,-0.07819075,1.1325442
1764917095125,-0.33279404,-11.219229,1.0630256,-1.2021828,-0.17104226,0.8051204
1764917095178,0.7015011,-15.318103,0.40222588,-1.9926424,-0.61941737,0.64996064
1764917095233,-0.45729253,-11.15698,1.6160861,-0.874759,-0.30543262,0.5497787
1764917095309,0.19871874,-10.374076,0.079008654,-1.4379768,0.19058995,0.58276546
1764917095366,-0.007182605,-9.773131,0.6631939,-0.8979719,0.042760566,0.75991637
1764917095419,-0.842759,-11.255142,-0.22505496,-0.752586,0.0012217305,0.6768387
1764917095487,-0.6631939,-13.718776,0.023942016,0.15149458,0.018325957,0.06963864
1764917095544,-0.021547815,-14.736312,0.038307227,0.6035349,0.0061086523,-0.31398472
1764917095599,0.038307227,-12.765883,0.32561144,1.2669345,0.012217305,-0.9260717
1764917095652,-0.10534488,-12.0571995,0.78769237,1.8203784,-0.119729586,-1.269378
1764917095707,0.10055647,-12.428301,2.0111294,1.6786577,-0.042760566,-1.4758505
1764917095762,0.6512229,-12.409147,2.243367,1.4477507,-0.09162979,-1.609019
1764917095817,0.36631286,-12.741941,1.4030021,1.0140363,-0.33353242,-1.8802432
1764917095869,1.3575124,-11.250354,1.5370775,1.7886134,-0.15149458,-1.8570304
1764917095933,2.042254,-9.655815,1.1875241,2.085494,0.09407325,-1.7556267
1764917095990,2.4277205,-7.0964136,2.1452048,1.9034561,0.25534168,-1.6126842
1764917096047,2.0350714,-5.303157,2.7485435,1.9669861,0.2846632,-1.4611896
1764917096101,2.6886885,-3.8379054,4.2784386,1.577254,0.19547687,-1.1239921
1764917096192,3.560178,-1.673547,4.8865657,0.98837996,0.059864793,-0.6243043
1764917096247,3.976769,-0.7110779,5.494693,0.8014552,0.21991149,-0.23335053
1764917096329,4.027047,-1.0031705,5.657499,0.119729586,0.07086037,0.27977628
1764917096382,3.5865142,-2.777274,4.8985367,-0.77213365,0.009773844,0.50579643
1764917096434,3.6391866,-2.2170308,4.268862,-0.956615,0.172264,0.74281216
1764917096494,2.6791117,-3.6272156,3.7804444,-1.5479325,-0.10629055,1.0861185
1764917096553,0.18435353,-3.881001,3.655946,-1.8350391,-0.22235495,1.5784758
1764917096614,0.23463176,-7.896077,1.2521675,-2.0818288,-0.6988298,2.2308798
1764917096673,0.34955344,-12.196063,0.49320555,-2.140472,-0.5729916,2.3493876
1764917096730,0.059855044,-15.306131,1.1228806,-2.7269025,-0.04886922,2.4312437
1764917096783,1.8722657,-15.205575,-0.36631286,-1.7324139,0.28221974,1.7641789
1764917096836,2.3319526,-12.35887,1.4269443,-1.3048081,0.25167647,1.1203269
1764917096895,0.5722142,-10.34774,1.3934253,-1.0506883,0.10629055,0.8246681
1764917096954,-1.3862427,-10.292673,0.6871359,-1.4391985,0.20525073,0.88208944
1764917097013,-0.7565677,-12.401965,-0.18914193,-1.0763446,0.14294247,0.9443977
1764917097069,-0.20590134,-13.493721,-0.9935937,-0.35185838,0.062308256,0.64996064
1764917097161,-0.18435353,-12.725182,-0.92655605,0.64996064,-0.030543262,-0.5571091
1764917097212,-0.90740246,-11.724405,-0.19871874,1.3365731,0.009773844,-0.90285885
1764917097264,-0.29209262,-12.346898,-0.15562311,1.4856243,-0.040317107,-1.0238101
1764917097316,-0.3184288,-11.585542,0.81163436,1.7983873,-0.09407325,-1.237613
1764917097374,0.32561144,-13.041217,-0.06703765,1.5528195,-0.11362094,-1.3390167
1764917097428,0.17956513,-11.640609,1.6089035,1.4147639,-0.0012217305,-1.3756685
1764917097481,0.5315128,-10.850522,2.3894134,1.5259414,0.035430185,-1.3585643
1764917097538,1.5658079,-9.368511,2.3894134,1.0604621,-0.081855945,-1.1447614
1764917097596,1.922544,-9.617508,2.566584,1.1142182,-0.18692477,-1.1068878
1764917097653,1.9153614,-8.058883,1.4556746,2.298075,-0.23701571,-1.2327261
1764917097711,1.7238252,-7.608773,3.2992098,1.6016886,-0.2321288,-1.3133603
1764917097766,2.6479871,-4.699818,3.7134068,1.5625933,0.059864793,-1.3292428
1764917097819,3.787627,-2.779668,4.465186,0.9138544,0.028099801,-0.8784242
1764917097878,3.3518825,-2.3942018,4.831499,0.49357912,0.095294975,-0.45814893
1764917097935,3.0478187,-1.9967642,4.465186,0.1282817,0.112399206,-0.16737708
1764917097989,2.8323407,-1.2162545,4.984728,-0.32253686,0.09407325,0.21380283
1764917098043,2.4708161,-1.8722657,3.9217024,-0.74036866,0.1160644,0.70738196
1764917098100,1.8243817,-3.9240966,3.1316159,-1.3304645,0.1563815,1.1227703
1764917098176,1.067814,-7.821857,3.41892,-2.1661282,0.09896017,1.6261233
1764917098228,0.059855044,-9.696517,2.1859062,-2.1966715,-0.029321533,1.7788396
1764917098280,0.5410896,-13.587094,1.9177556,-2.5240953,0.105068825,1.5259414
1764917098332,0.80924016,-14.144943,3.157952,-2.085494,0.42760566,1.187522
1764917098385,1.970428,-15.521609,0.46686932,-1.4306464,0.4642576,0.36774087
1764917098445,2.3080103,-10.723629,1.3934253,-1.6615535,0.09896017,0.08552113
1764917098501,3.442862,-10.599131,1.1971009,-1.6481144,-0.31887165,0.49357912
1764917098555,1.6687586,-8.578424,2.1068976,-0.45937067,-0.056199603,0.5705481
1764917098611,1.0749966,-11.046846,0.39025488,-0.829555,-0.018325957,0.5839872
1764917098665,1.4053963,-11.609484,-0.50517654,-0.63407815,-0.06352998,0.41538838
1764917098721,1.2425907,-13.148955,-0.7015011,-0.28344148,-0.007330383,0.10751228
1764917098781,1.9656396,-12.172121,-0.81163436,0.44959682,-0.034208454,-0.36163223
1764917098834,1.9991584,-11.829751,-0.47884035,1.0848967,-0.018325957,-0.5644395
1764917098888,2.4301147,-12.277467,0.25378537,1.2950343,-0.002443461,-0.9053023
1764917098943,2.0159178,-12.445061,1.2425907,1.6481144,0.13683382,-1.1410962
1764917098999,3.110068,-11.468226,1.6256629,1.5296066,0.09896017,-1.073901
1764917099053,2.1739352,-10.869676,2.9616275,1.9156734,-0.007330383,-1.2412782
1764917099107,2.0111294,-12.006922,2.0326772,0.9737192,-0.056199603,-1.1557571
1764917099202,2.789245,-9.785102,2.2505496,1.7030923,-0.029321533,-0.92485
1764917099253,3.4213142,-8.595184,3.6870706,1.9022343,-0.07452556,-1.2974777
1764917099307,2.542642,-6.2512608,3.2632968,2.1197023,0.21380283,-1.287704
1764917099365,3.4691982,-4.173094,4.465186,1.7373008,0.2125811,-1.1655309
1764917099426,3.2968156,-3.3207579,4.247314,1.3011429,0.16126843,-0.87964594
1764917099483,3.7445314,-1.9800048,4.656722,0.56199604,0.10262536,-0.63285637
1764917099535,3.5649664,-0.60812724,5.161899,0.41783184,0.081855945,-0.37018433
1764917099586,3.6703112,-1.079785,4.8578353,-0.19792034,0.073303826,0.11728613
1764917099637,3.3997664,-0.90261406,5.0781016,-0.37873647,0.103847094,0.32742378
1764917099689,2.9472623,-1.6543933,4.501099,-0.8576548,0.16249016,0.766025
1764917099746,0.7469909,-0.25617957,2.9735985,-1.2144,-0.25534168,1.4391985
1764917099801,0.60333884,-3.5218706,2.6671407,-1.3500122,-0.58276546,1.7055358
1764917099854,0.78050977,-8.916007,2.4827871,-2.4226916,-0.49602258,2.3151793
1764917099910,1.0989386,-12.811374,1.7932571,-2.4092526,0.09896017,2.5986207
1764917099967,0.5602432,-14.743494,2.7341783,-2.2919664,0.3726278,2.1001546
1764917100034,1.6160861,-15.217546,3.5936968,-1.78617,0.5180137,1.2901474
1764917100120,2.2888567,-11.046846,4.4603977,-1.500285,0.23701571,0.7098254
1764917100214,0.2873042,-11.492168,0.60333884,-1.5308284,0.2284636,0.69027776
1764917100265,1.6807296,-12.423512,-0.39264908,-1.2009611,0.08674286,0.79412484
1764917100317,0.37588966,-12.397177,-0.5506664,-0.39584067,0.089186326,0.5204572
1764917100368,0.39264908,-12.897565,-0.6847417,-0.12950343,0.09773844,-0.17348573
1764917100420,0.019153614,-12.294226,-0.20829555,0.3652974,0.07941248,-0.42149702
1764917100474,0.4285621,-12.935872,0.5243302,1.2180653,-0.07574729,-0.816116
1764917100531,0.94092125,-12.777855,1.0055647,1.9730947,-0.19058995,-1.2620476
1764917100587,1.4413095,-12.418724,1.5275006,2.1380284,-0.25045475,-1.4538593
