t,ax,ay,az,gx,gy,gz
1764804362387,-1.0654198,7.575254,5.6359506,-0.02565634,0.0061086523,-0.034208454
1764804362438,-1.079785,7.6015906,5.9878983,-0.081855945,0.03176499,-0.014660766
1764804362490,-1.2018893,7.6255326,5.901707,0.014660766,0.08307768,0.034208454
1764804362541,-0.9672575,7.714118,5.829881,-0.009773844,0.05131268,0.02443461
1764804362594,-1.0941502,7.630321,5.9184666,-0.008552114,0.061086524,0.030543262
1764804362647,-1.0749966,7.716512,5.9280434,0.007330383,0.06841691,0.058643065
1764804362698,-1.283292,7.762002,5.7604494,-0.021991149,0.09285152,0.09896017
1764804362750,-1.0965444,7.73806,5.9064956,-0.04886922,0.14660765,0.16615535
1764804362803,-0.8379706,7.8888946,5.90889,-0.05131268,0.12950343,0.11362094
1764804362857,-1.1228806,7.630321,5.60722,-0.042760566,0.14049901,0.05497787
1764804362936,-1.1109096,7.539341,5.9400144,-0.06963864,0.16249016,0.1160644
1764804362988,-1.0295067,7.4004774,5.616797,0.05497787,0.09407325,0.10873401
1764804363040,-0.63206923,7.4627266,5.437232,0.02443461,0.103847094,0.095294975
1764804363095,-0.9600749,7.290344,5.734113,-0.05009095,-0.019547688,-0.08674286
1764804363148,-0.80684596,7.40766,8.166622,-0.15515977,-0.42760566,0.0061086523
1764804363201,-1.9871874,7.5225816,7.398083,0.5705481,-0.61208695,-0.008552114
1764804363255,-1.9632454,7.2065473,6.619968,1.1557571,-0.7538077,0.29565877
1764804363308,-0.94810385,7.8529816,5.5497594,1.5357152,-1.5149459,0.07696902
1764804363362,-0.7469909,8.046912,4.5154643,1.3927728,-0.71959925,0.3652974
1764804363421,1.0319009,9.0476885,2.5881321,0.8246681,-0.63041294,0.25167647
1764804363474,1.7262194,9.263166,2.1332338,0.3213151,0.04153884,0.16249016
1764804363527,2.0685902,9.428367,2.5019407,0.19792034,0.267559,0.14660765
1764804363580,0.92176765,8.815451,3.4021606,0.16493362,0.57787853,0.49235737
1764804363634,1.3910311,8.968679,3.2968156,0.376293,0.48380527,0.48380527
1764804363687,1.5179238,9.3421755,2.4851813,0.43127087,0.37995818,0.3494149
1764804363739,1.4676456,9.622296,2.0805612,0.2919936,0.1966986,0.267559
1764804363792,1.8315643,9.907207,1.6927006,0.3640757,-0.05375614,0.20647246
1764804363856,1.1923125,9.646238,2.0015526,0.0036651916,0.29443705,0.21624629
1764804363909,1.2761095,9.421184,2.8179753,-0.0036651916,0.27488935,0.31398472
1764804363961,0.8834604,9.045294,3.064578,0.05497787,0.267559,0.25534168
1764804364016,1.1444284,9.021352,2.9161377,0.20769419,0.105068825,0.4373795
1764804364068,3.2609026,10.127473,2.123657,-0.058643065,0.73426,0.50823987
1764804364121,3.691859,10.000581,0.82360536,0.09773844,0.766025,-0.23579398
1764804364174,1.9608512,9.397242,0.9552865,-0.816116,1.749518,-0.49846604
1764804364227,-0.033518825,8.403648,4.1706996,-1.4770721,1.645671,0.10873401
1764804364280,0.81881696,8.700529,4.644751,-0.5900958,0.84788096,0.25778514
1764804364336,1.1779473,8.851364,4.3358994,-0.05009095,0.28099802,0.24312437
1764804364388,1.0893618,9.004593,3.9217024,-0.15760323,0.3848451,0.19425514
1764804364441,1.127669,9.030929,4.0462008,-0.1001819,0.24678956,0.08307768
1764804364494,0.9504981,9.143456,4.096479,-0.112399206,0.36285394,0.035430185
1764804364546,0.38067806,9.258378,3.7253778,-0.17104226,0.55833083,-0.012217305
1764804364599,0.009576807,9.835381,3.7086184,-0.25411993,0.6963864,-0.034208454
1764804364655,-0.095768064,10.539276,3.4691982,-0.18203785,0.88208944,-0.07696902
1764804364708,-0.51714754,11.247959,4.697424,-0.035430185,0.7318166,-0.48624873
1764804364761,-1.2593501,10.520123,3.9432502,0.09285152,-0.014660766,-0.9602802
1764804364821,-2.801216,7.017405,4.5872903,-0.53878313,-0.05131268,-0.41416663
1764804364873,-1.3934253,6.7564373,6.066907,-0.05131268,-0.9810496,-0.1881465
